instructie,en,nl,af,sq,am,ar,hy,as,az,eu,bn,my,bs,bg,ca,zh,da,de,et,fo,fi,fr,gl,ka,el,gu,he,hi,hu,ga,is,id,it,ja,kn,kk,km,ko,hr,lo,lv,lt,mk,ms,ml,mr,mn,ne,no,uk,or,ug,uz,fa,pl,pt,pa,ro,ru,sr,si,sk,sl,es,sw,ta,te,th,bo,cs,tr,ur,vi,cy,be,zu,sv,catalog,key,variation
"Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@ (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 17 tekens (UI-ruimte).",Restore to %@,Zet terug naar %@,Herstel na %@,Rikthe te %@,ወደ %@ መልስ,استعادة إلى %@,Վերականգնել՝ %@,%@-লৈ পুনৰুদ্ধাৰ কৰক,%@-a bərpa et,Leheneratu hona: %@,%@-এ ফিরিয়ে নিন,%@ သို့ ပြန်ယူရန်,Vrati u %@,Възстановяване в %@,Restaura a %@,恢复到 %@,Gendan til %@,Nach %@ wiederherstellen,Taasta asukohta %@,Endurreis til %@,Palauta kohteeseen %@,Restaurer vers %@,Restaurar en %@,%@-ში აღდგენა,Επαναφορά στο %@,%@માં પુનઃસ્થાપિત કરો,שחזור אל %@,%@ पर बहाल करें,Visszaállítás ide: %@,Athchóirigh go %@,Endurheimta í %@,Pulihkan ke %@,Ripristina in %@,%@に復元,%@ಗೆ ಮರುಸ್ಥಾಪಿಸಿ,%@ ішіне қайтару,ស្ដារទៅ %@,%@로 복원,Vrati u %@,ກູ້ຄືນໄປ %@,Atjaunot uz %@,Atkurti į %@,Врати во %@,Pulihkan ke %@,%@-ലേക്ക് പുനഃസ്ഥാപിക്കുക,%@ मध्ये पुनर्संचयित करा,%@ руу сэргээх,%@ मा पुनर्स्थापना गर्नुहोस्,Gjenopprett til %@,Відновити до %@,%@କୁ ପୁନଃସ୍ଥାପନ,%@ غا ئەسلىگە كەلتۈرۈش,%@ga tiklash,بازیابی به %@,Przywróć do %@,Restaurar para %@,%@ ’ਤੇ ਰੀਸਟੋਰ ਕਰੋ,Restaurează în %@,Восстановить в %@,Vrati u %@,%@ වෙත ප්‍රතිසාධනය කරන්න,Obnoviť do %@,Obnovi v %@,Restaurar en %@,Rejesha hadi %@,%@-க்கு மீட்டமை,%@కు పునరుద్ధరించండి,กู้คืนไปยัง %@,%@ ལ་སླར་གསོ,Obnovit do %@,%@ konumuna geri yükle,%@ میں بحال کریں,Khôi phục về %@,Adfer i %@,Аднавіць у %@,Buyisela ku-%@,Återställ till %@,app,Zet terug naar %@,
Streef naar ± 16 tekens (UI-ruimte).,Search Finished,Zoek in Afgerond,Soek in Voltooi,Kërko te Përfunduar,በተጠናቀቁ ውስጥ ፈልግ,البحث في المكتمل,Որոնել Ավարտվածներում,সম্পূৰ্ণত সন্ধান কৰক,Tamamlananlarda axtar,Bilatu Osatuta atalean,সম্পন্ন আইটেমে সার্চ করুন,ပြီးစီးတွင် ရှာရန်,Pretraži Završeno,Търсене в Завършени,Cerca a Completats,搜索已完成项目,Søg i Fuldført,In Erledigt suchen,Otsi lõpetatutest,Leita í Liðugt,Hae valmiista,Rechercher dans Terminés,Buscar en Completadas,დასრულებულებში ძიება,Αναζήτηση στα Ολοκληρωμένα,પૂર્ણમાં શોધો,חיפוש בפריטים שהושלמו,पूर्ण में खोजें,Keresés a Kész elemek között,Cuardaigh Críochnaithe,Leita í Lokið,Cari di Selesai,Cerca nei Completati,完了済みを検索,ಪೂರ್ಣಗೊಂಡವುಗಳಲ್ಲಿ ಹುಡುಕಿ,Орындалғандардан іздеу,ស្វែងរកក្នុង បានបញ្ចប់,완료 항목 검색,Pretraži dovršeno,ຄົ້ນຫາໃນລາຍການສຳເລັດ,Meklēt Pabeigtajos,Ieškoti skiltyje „Atlikta“,Пребарај завршени,Cari yang Selesai,പൂർത്തിയായവയിൽ തിരയുക,पूर्ण आयटम शोधा,Дууссанаас хайх,सम्पन्नमा खोज्नुहोस्,Søk i Fullført,Шукати у Виконано,ସମ୍ପୂର୍ଣ୍ଣରେ ସନ୍ଧାନ,تاماملانغانلاردىن ئىزدەش,Bajarilganlardan qidirish,جست‌وجو در انجام‌شده‌ها,Szukaj w Ukończonych,Pesquisar em Concluídos,ਪੂਰੀਆਂ ਵਿੱਚ ਖੋਜੋ,Caută în Finalizate,Искать в выполненных,Pretraži Završeno,සම්පූර්ණ අයිතම සොයන්න,Hľadať v Dokončených,Išči v Dokončano,Buscar en Completado,Tafuta katika Vilivyokamilika,முடிந்தவற்றில் தேடு,పూర్తయిన వాటిలో శోధించండి,ค้นหาในรายการที่เสร็จ,ལེགས་གྲུབ་ནང་འཚོལ,Hledat v Hotovo,Tamamlananlarda Ara,مکمل میں تلاش کریں,Tìm trong Đã xong,Chwilio yn Wedi Gorffen,Шукаць у выкананых,Sesha Kokuthi Kuqediwe,Sök i Slutförda,app,Zoek in Afgerond,
Streef naar ± 6 tekens (UI-ruimte).,Search,Zoeken,Soek,Kërko,ፈልግ,بحث,Որոնել,সন্ধান,Axtar,Bilatu,সার্চ,ရှာရန်,Pretraži,Търсене,Cerca,搜索,Søg,Suchen,Otsi,Leita,Hae,Rechercher,Buscar,ძიება,Αναζήτηση,શોધો,חיפוש,खोजें,Keresés,Cuardaigh,Leita,Cari,Cerca,検索,ಹುಡುಕಿ,Іздеу,ស្វែងរក,검색,Pretraži,ຄົ້ນຫາ,Meklēt,Ieškoti,Пребарај,Cari,തിരയുക,शोधा,Хайх,खोज्नुहोस्,Søk,Пошук,ସନ୍ଧାନ,ئىزدەش,Qidirish,جست‌وجو,Szukaj,Pesquisar,ਖੋਜੋ,Caută,Поиск,Pretraži,සොයන්න,Hľadať,Išči,Buscar,Tafuta,தேடு,శోధించండి,ค้นหา,འཚོལ,Hledat,Ara,تلاش,Tìm kiếm,Chwilio,Пошук,Sesha,Sök,app,Zoeken,
Streef naar ± 14 tekens (UI-ruimte).,Close search,Zoeken sluiten,Maak soektog toe,Mbyll kërkimin,ፍለጋ ዝጋ,إغلاق البحث,Փակել որոնումը,সন্ধান বন্ধ কৰক,Axtarışı bağla,Itxi bilaketa,সার্চ বন্ধ করুন,ရှာဖွေမှု ပိတ်ရန်,Zatvori pretragu,Затваряне на търсенето,Tanca la cerca,关闭搜索,Luk søgning,Suche schließen,Sulge otsing,Lat leiting aftur,Sulje haku,Fermer la recherche,Pechar busca,ძიების დახურვა,Κλείσιμο αναζήτησης,શોધ બંધ કરો,סגירת החיפוש,खोज बंद करें,Keresés bezárása,Dún cuardach,Loka leit,Tutup pencarian,Chiudi ricerca,検索を閉じる,ಹುಡುಕಾಟ ಮುಚ್ಚಿ,Іздеуді жабу,បិទការស្វែងរក,검색 닫기,Zatvori pretraživanje,ປິດການຄົ້ນຫາ,Aizvērt meklēšanu,Uždaryti paiešką,Затвори пребарување,Tutup carian,തിരയൽ അടയ്ക്കുക,शोध बंद करा,Хайлтыг хаах,खोज बन्द गर्नुहोस्,Lukk søk,Закрити пошук,ସନ୍ଧାନ ବନ୍ଦ,ئىزدەشنى تاقاش,Qidiruvni yopish,بستن جست‌وجو,Zamknij wyszukiwanie,Fechar pesquisa,ਖੋਜ ਬੰਦ ਕਰੋ,Închide căutarea,Закрыть поиск,Zatvori pretragu,සෙවුම වසන්න,Zavrieť vyhľadávanie,Zapri iskanje,Cerrar búsqueda,Funga utafutaji,தேடலை மூடு,శోధనను మూసివేయండి,ปิดการค้นหา,འཚོལ་ཞིབ་ཁ་རྒྱག,Zavřít hledání,Aramayı kapat,تلاش بند کریں,Đóng tìm kiếm,Cau'r chwiliad,Закрыць пошук,Vala ukusesha,Stäng sökning,app,Zoeken sluiten,
Streef naar ± 19 tekens (UI-ruimte).,Clear search,Zoekopdracht wissen,Maak soektog skoon,Pastro kërkimin,ፍለጋ አጽዳ,مسح البحث,Մաքրել որոնումը,সন্ধান মচক,Axtarışı təmizlə,Garbitu bilaketa,সার্চ পরিষ্কার করুন,ရှာဖွေမှု ရှင်းရန်,Očisti pretragu,Изчистване на търсенето,Esborra la cerca,清除搜索,Ryd søgning,Suche löschen,Tühjenda otsing,Rudda leiting,Tyhjennä haku,Effacer la recherche,Limpar busca,ძიების გასუფთავება,Εκκαθάριση αναζήτησης,શોધ સાફ કરો,ניקוי החיפוש,खोज साफ़ करें,Keresés törlése,Glan cuardach,Hreinsa leit,Hapus pencarian,Cancella ricerca,検索を消去,ಹುಡುಕಾಟ ತೆರವುಗೊಳಿಸಿ,Іздеуді тазалау,សម្អាតការស្វែងរក,검색 지우기,Očisti pretraživanje,ລ້າງການຄົ້ນຫາ,Notīrīt meklējumu,Išvalyti paiešką,Исчисти пребарување,Kosongkan carian,തിരയൽ മായ്ക്കുക,शोध साफ करा,Хайлтыг цэвэрлэх,खोज खाली गर्नुहोस्,Tøm søk,Очистити пошук,ସନ୍ଧାନ ସଫା,ئىزدەشنى تازىلاش,Qidiruvni tozalash,پاک‌کردن جست‌وجو,Wyczyść wyszukiwanie,Limpar pesquisa,ਖੋਜ ਸਾਫ਼ ਕਰੋ,Golește căutarea,Очистить поиск,Obriši pretragu,සෙවුම හිස් කරන්න,Vymazať vyhľadávanie,Počisti iskanje,Borrar búsqueda,Futa utafutaji,தேடலை அழி,శోధనను క్లియర్ చేయండి,ล้างการค้นหา,འཚོལ་ཞིབ་གཙང་སེལ,Vymazat hledání,Aramayı temizle,تلاش صاف کریں,Xóa tìm kiếm,Clirio'r chwiliad,Ачысціць пошук,Sula ukusesha,Rensa sökning,app,Zoekopdracht wissen,
Streef naar ± 6 tekens (UI-ruimte).,Sunday,Zondag,Sondag,E diel,እሁድ,الأحد,Կիրակի,দেওবাৰ,Bazar,Igandea,রবিবার,တနင်္ဂနွေ,Nedjelja,Неделя,Diumenge,星期日,Søndag,Sonntag,Pühapäev,Sunnudagur,Sunnuntai,Dimanche,Domingo,კვირა,Κυριακή,રવિવાર,יום ראשון,रविवार,Vasárnap,Dé Domhnaigh,Sunnudagur,Minggu,Domenica,日曜日,ಭಾನುವಾರ,Жексенбі,ថ្ងៃអាទិត្យ,일요일,Nedjelja,ວັນອາທິດ,Svētdiena,Sekmadienis,Недела,Ahad,ഞായറാഴ്ച,रविवार,Ням,आइतबार,Søndag,Неділя,ରବିବାର,يەكشەنبە,Yakshanba,یکشنبه,Niedziela,Domingo,ਐਤਵਾਰ,Duminică,Воскресенье,Nedelja,ඉරිදා,Nedeľa,Nedelja,Domingo,Jumapili,ஞாயிறு,ఆదివారం,วันอาทิตย์,གཟའ་ཉི་མ,Neděle,Pazar,اتوار,Chủ Nhật,Dydd Sul,Нядзеля,ISonto,Söndag,app,Zondag,
Streef naar ± 9 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,Forget It,app,app.name,
"Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 15 tekens (UI-ruimte).",in %lld days,over %lld dagen,oor %lld dae,pas %lld ditësh,ከ%lld ቀናት በኋላ,خلال %lld أيام,%lld օրից,%lld দিনৰ পিছত,%lld gün sonra,%lld egun barru,%lld দিন পর,%lld ရက်အတွင်း,za %lld dana,след %lld дни,d’aquí a %lld dies,%lld 天后,om %lld dage,in %lld Tagen,%lld päeva pärast,um %lld dagar,%lld päivän kuluttua,dans %lld jours,dentro de %lld días,%lld დღეში,σε %lld ημέρες,%lld દિવસમાં,בעוד %lld ימים,%lld दिनों में,%lld nap múlva,i gceann %lld lá,eftir %lld daga,dalam %lld hari,tra %lld giorni,%lld日後,%lld ದಿನಗಳಲ್ಲಿ,%lld күннен кейін,ក្នុង %lld ថ្ងៃ,%lld일 후,za %lld dana,ອີກ %lld ມື້,pēc %lld dienām,po %lld dienų,за %lld дена,dalam %lld hari,%lld ദിവസത്തിൽ,%lld दिवसांत,%lld өдрийн дараа,%lld दिनमा,om %lld dager,через %lld днів,%lld ଦିନ ପରେ,%lld كۈندىن كېيىن,%lld kundan keyin,تا %lld روز دیگر,za %lld dni,daqui a %lld dias,%lld ਦਿਨਾਂ ਵਿੱਚ,peste %lld zile,через %lld дней,za %lld dana,දින %lldකින්,o %lld dní,čez %lld dni,dentro de %lld días,baada ya siku %lld,%lld நாட்களில்,%lld రోజుల్లో,ในอีก %lld วัน,ཉིན་ %lld རྗེས,za %lld dní,%lld gün içinde,%lld دن بعد,sau %lld ngày,ymhen %lld diwrnod,праз %lld дзён,ezinsukwini ezingu-%lld,om %lld dagar,app,birthday.reminder.inDays,
"Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 13 tekens (UI-ruimte).",in %lld day,over %lld dag,oor %lld dag,pas %lld dite,ከ%lld ቀን በኋላ,خلال %lld يوم,%lld օրից,%lld দিনৰ পিছত,%lld gün sonra,%lld egun barru,%lld দিন পর,%lld ရက်အတွင်း,za %lld dan,след %lld ден,d’aquí a %lld dia,%lld 天后,om %lld dag,in %lld Tag,%lld päeva pärast,um %lld dag,%lld päivän kuluttua,dans %lld jour,dentro de %lld día,%lld დღეში,σε %lld ημέρα,%lld દિવસમાં,בעוד %lld יום,%lld दिन में,%lld nap múlva,i gceann %lld lá,eftir %lld dag,dalam %lld hari,tra %lld giorno,%lld日後,%lld ದಿನದಲ್ಲಿ,%lld күннен кейін,ក្នុង %lld ថ្ងៃ,%lld일 후,za %lld dan,ອີກ %lld ມື້,pēc %lld dienas,po %lld dienos,за %lld ден,dalam %lld hari,%lld ദിവസത്തിൽ,%lld दिवसात,%lld өдрийн дараа,%lld दिनमा,om %lld dag,через %lld день,%lld ଦିନ ପରେ,%lld كۈندىن كېيىن,%lld kundan keyin,تا %lld روز دیگر,za %lld dzień,daqui a %lld dia,%lld ਦਿਨ ਵਿੱਚ,peste %lld zi,через %lld день,za %lld dan,දින %lldකින්,o %lld deň,čez %lld dan,dentro de %lld día,baada ya siku %lld,%lld நாளில்,%lld రోజులో,ในอีก %lld วัน,ཉིན་ %lld རྗེས,za %lld den,%lld gün içinde,%lld دن بعد,sau %lld ngày,ymhen %lld diwrnod,праз %lld дзень,ngosuku olungu-%lld,om %lld dag,app,birthday.reminder.inOneDay,
"Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 27 tekens (UI-ruimte).",Has a birthday in %lld days,Is over %lld dagen jarig,Verjaar oor %lld dae,Ka ditëlindjen pas %lld ditësh,ከ%lld ቀናት በኋላ ልደቱ ነው,عيد ميلاده بعد %lld أيام,Ծննդյան օրը %lld օրից է,%lld দিনৰ পিছত জন্মদিন,Ad günü %lld gün sonradır,%lld egun barru du urtebetetzea,%lld দিন পর জন্মদিন,%lld ရက်အတွင်း မွေးနေ့ရောက်မည်,Rođendan je za %lld dana,Има рожден ден след %lld дни,Fa anys d’aquí a %lld dies,生日在 %lld 天后,Har fødselsdag om %lld dage,Hat in %lld Tagen Geburtstag,Sünnipäev on %lld päeva pärast,Hevur føðingardag um %lld dagar,Syntymäpäivä %lld päivän kuluttua,Anniversaire dans %lld jours,Cumpre anos dentro de %lld días,დაბადების დღე აქვს %lld დღეში,Έχει γενέθλια σε %lld ημέρες,%lld દિવસમાં જન્મદિવસ છે,יום ההולדת בעוד %lld ימים,%lld दिनों में जन्मदिन है,%lld nap múlva lesz a születésnapja,Tá breithlá aige/aici i gceann %lld lá,Á afmæli eftir %lld daga,Berulang tahun dalam %lld hari,Compie gli anni tra %lld giorni,%lld日後に誕生日,%lld ದಿನಗಳಲ್ಲಿ ಹುಟ್ಟುಹಬ್ಬವಿದೆ,Туған күніне %lld күн қалды,មានថ្ងៃកំណើតក្នុង %lld ថ្ងៃ,%lld일 후 생일,Ima rođendan za %lld dana,ຈະເຖິງວັນເກີດໃນ %lld ມື້,Dzimšanas diena pēc %lld dienām,Gimtadienis po %lld dienų,Има роденден за %lld дена,Hari lahir dalam %lld hari,%lld ദിവസത്തിൽ ജന്മദിനം,%lld दिवसांत वाढदिवस आहे,%lld өдрийн дараа төрсөн өдөртэй,%lld दिनमा जन्मदिन छ,Har bursdag om %lld dager,День народження через %lld днів,%lld ଦିନ ପରେ ଜନ୍ମଦିନ,%lld كۈندىن كېيىن تۇغۇلغان كۈنى,%lld kundan keyin tug‘ilgan kuni,تولدش %lld روز دیگر است,Urodziny za %lld dni,Faz anos daqui a %lld dias,%lld ਦਿਨਾਂ ਵਿੱਚ ਜਨਮਦਿਨ ਹੈ,Are ziua de naștere peste %lld zile,День рождения через %lld дней,Rođendan je za %lld dana,දින %lldකින් උපන්දිනයයි,Narodeniny má o %lld dní,Rojstni dan ima čez %lld dni,Cumple años dentro de %lld días,Ana siku ya kuzaliwa baada ya siku %lld,%lld நாட்களில் பிறந்தநாள்,%lld రోజుల్లో పుట్టినరోజు,จะถึงวันเกิดในอีก %lld วัน,ཉིན་ %lld རྗེས་སྐྱེས་སྐར་ཡིན,Narozeniny má za %lld dní,%lld gün içinde doğum günü var,%lld دن بعد سالگرہ ہے,Còn %lld ngày đến sinh nhật,Yn cael pen-blwydd ymhen %lld diwrnod,Дзень нараджэння праз %lld дзён,Unosuku lokuzalwa ezinsukwini ezingu-%lld,Fyller år om %lld dagar,app,birthday.status.birthdayInDays,
"Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 26 tekens (UI-ruimte).",Has a birthday in %lld day,Is over %lld dag jarig,Verjaar oor %lld dag,Ka ditëlindjen pas %lld dite,ከ%lld ቀን በኋላ ልደቱ ነው,عيد ميلاده بعد %lld يوم,Ծննդյան օրը %lld օրից է,%lld দিনৰ পিছত জন্মদিন,Ad günü %lld gün sonradır,%lld egun barru du urtebetetzea,%lld দিন পর জন্মদিন,%lld ရက်အတွင်း မွေးနေ့ရောက်မည်,Rođendan je za %lld dan,Има рожден ден след %lld ден,Fa anys d’aquí a %lld dia,生日在 %lld 天后,Har fødselsdag om %lld dag,Hat in %lld Tag Geburtstag,Sünnipäev on %lld päeva pärast,Hevur føðingardag um %lld dag,Syntymäpäivä %lld päivän kuluttua,Anniversaire dans %lld jour,Cumpre anos dentro de %lld día,დაბადების დღე აქვს %lld დღეში,Έχει γενέθλια σε %lld ημέρα,%lld દિવસમાં જન્મદિવસ છે,יום ההולדת בעוד %lld יום,%lld दिन में जन्मदिन है,%lld nap múlva lesz a születésnapja,Tá breithlá aige/aici i gceann %lld lá,Á afmæli eftir %lld dag,Berulang tahun dalam %lld hari,Compie gli anni tra %lld giorno,%lld日後に誕生日,%lld ದಿನದಲ್ಲಿ ಹುಟ್ಟುಹಬ್ಬವಿದೆ,Туған күніне %lld күн қалды,មានថ្ងៃកំណើតក្នុង %lld ថ្ងៃ,%lld일 후 생일,Ima rođendan za %lld dan,ຈະເຖິງວັນເກີດໃນ %lld ມື້,Dzimšanas diena pēc %lld dienas,Gimtadienis po %lld dienos,Има роденден за %lld ден,Hari lahir dalam %lld hari,%lld ദിവസത്തിൽ ജന്മദിനം,%lld दिवसात वाढदिवस आहे,%lld өдрийн дараа төрсөн өдөртэй,%lld दिनमा जन्मदिन छ,Har bursdag om %lld dag,День народження через %lld день,%lld ଦିନ ପରେ ଜନ୍ମଦିନ,%lld كۈندىن كېيىن تۇغۇلغان كۈنى,%lld kundan keyin tug‘ilgan kuni,تولدش %lld روز دیگر است,Urodziny za %lld dzień,Faz anos daqui a %lld dia,%lld ਦਿਨ ਵਿੱਚ ਜਨਮਦਿਨ ਹੈ,Are ziua de naștere peste %lld zi,День рождения через %lld день,Rođendan je za %lld dan,දින %lldකින් උපන්දිනයයි,Narodeniny má o %lld deň,Rojstni dan ima čez %lld dan,Cumple años dentro de %lld día,Ana siku ya kuzaliwa baada ya siku %lld,%lld நாளில் பிறந்தநாள்,%lld రోజులో పుట్టినరోజు,จะถึงวันเกิดในอีก %lld วัน,ཉིན་ %lld རྗེས་སྐྱེས་སྐར་ཡིན,Narozeniny má za %lld den,%lld gün içinde doğum günü var,%lld دن بعد سالگرہ ہے,Còn %lld ngày đến sinh nhật,Yn cael pen-blwydd ymhen %lld diwrnod,Дзень нараджэння праз %lld дзень,Unosuku lokuzalwa ngosuku olungu-%lld,Fyller år om %lld dag,app,birthday.status.birthdayInOneDay,
Streef naar ± 20 tekens (UI-ruimte).,Has a birthday today,Is vandaag jarig,Verjaar vandag,Ka ditëlindjen sot,ዛሬ ልደቱ ነው,عيد ميلاده اليوم,Այսօր ծննդյան օրն է,আজি জন্মদিন,Ad günü bu gündür,Gaur du urtebetetzea,আজ জন্মদিন,ယနေ့ မွေးနေ့,Danas je rođendan,Има рожден ден днес,Avui fa anys,今天生日,Har fødselsdag i dag,Hat heute Geburtstag,Täna on sünnipäev,Hevur føðingardag í dag,Syntymäpäivä tänään,Anniversaire aujourd’hui,Cumpre anos hoxe,დღეს აქვს დაბადების დღე,Έχει γενέθλια σήμερα,આજે જન્મદિવસ છે,יום ההולדת היום,आज जन्मदिन है,Ma van a születésnapja,Tá a bhreithlá/a breithlá inniu,Á afmæli í dag,Berulang tahun hari ini,Compie gli anni oggi,今日が誕生日,ಇಂದು ಹುಟ್ಟುಹಬ್ಬ,Бүгін туған күні,មានថ្ងៃកំណើតថ្ងៃនេះ,오늘 생일,Danas ima rođendan,ວັນເກີດແມ່ນມື້ນີ້,Šodien ir dzimšanas diena,Gimtadienis šiandien,Има роденден денес,Hari lahir hari ini,ഇന്ന് ജന്മദിനം,आज वाढदिवस आहे,Өнөөдөр төрсөн өдөртэй,आज जन्मदिन हो,Har bursdag i dag,Сьогодні день народження,ଆଜି ଜନ୍ମଦିନ,بۈگۈن تۇغۇلغان كۈنى,Bugun tug‘ilgan kuni,امروز تولدش است,Urodziny są dziś,Faz anos hoje,ਅੱਜ ਜਨਮਦਿਨ ਹੈ,Are ziua de naștere azi,Сегодня день рождения,Danas je rođendan,අද උපන්දිනයයි,Narodeniny má dnes,Danes ima rojstni dan,Cumple años hoy,Ana siku ya kuzaliwa leo,இன்று பிறந்தநாள்,ఈరోజు పుట్టినరోజు,วันนี้เป็นวันเกิด,དེ་རིང་སྐྱེས་སྐར་ཡིན,Narozeniny má dnes,Bugün doğum günü,آج سالگرہ ہے,Hôm nay là sinh nhật,Yn cael pen-blwydd heddiw,Сёння дзень нараджэння,Unosuku lokuzalwa namuhla,Fyller år i dag,app,birthday.status.today,
"Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 24 tekens (UI-ruimte).",Turned %lld today,Is vandaag %lld geworden,Word vandag %lld,Sot mbushi %lld,ዛሬ %lld ዓመት ሆነ,بلغ %lld اليوم,Այսօր դարձավ %lld տարեկան,আজি %lld বছৰ হ’ল,Bu gün %lld yaşı oldu,Gaur %lld urte bete ditu,আজ %lld বছর পূর্ণ হয়েছে,ယနေ့ အသက် %lld နှစ်ပြည့်,Danas puni %lld,Днес навърши %lld,Avui fa %lld anys,今天满 %lld 岁,Fyldte %lld i dag,Ist heute %lld geworden,Sai täna %lld-aastaseks,Fylti %lld í dag,Täytti tänään %lld,A %lld ans aujourd’hui,Hoxe cumpriu %lld,დღეს გახდა %lld წლის,Έγινε %lld σήμερα,આજે %lld વર્ષના થયા,מלאו %lld היום,आज %lld वर्ष के हुए,Ma lett %lld éves,Tá sé/sí %lld inniu,Varð %lld ára í dag,Hari ini berusia %lld,Oggi ha compiuto %lld anni,今日%lld歳,ಇಂದು %lld ವರ್ಷ ತುಂಬಿದೆ,Бүгін %lld жасқа толды,ថ្ងៃនេះគម្រប់អាយុ %lld,오늘 %lld세가 됨,Danas puni %lld,ມື້ນີ້ອາຍຸຄົບ %lld,Šodien palika %lld,Šiandien sukako %lld m.,Денес полни %lld,Berumur %lld hari ini,ഇന്ന് %lld വയസായി,आज %lld वर्षांचे झाले,Өнөөдөр %lld нас хүрсэн,आज %lld वर्ष पुगे,Fylte %lld i dag,Сьогодні виповнилося %lld,ଆଜି %lld ବର୍ଷ ହେଲା,بۈگۈن %lld ياشقا كىردى,Bugun %lld yoshga to‘ldi,امروز %lld ساله شد,Kończy dziś %lld lat,Fez %lld anos hoje,ਅੱਜ %lld ਸਾਲ ਦਾ ਹੋਇਆ,A împlinit azi %lld ani,Сегодня исполнилось %lld,Danas puni %lld,අද %lld විය,Dnes má %lld rokov,Danes je dopolnil/-a %lld,Hoy cumple %lld,Ametimiza miaka %lld leo,இன்று %lld வயதாகிறது,ఈరోజు %lld సంవత్సరాలు నిండాయి,วันนี้อายุครบ %lld ปี,དེ་རིང་ལོ་ %lld སོན,Dnes dosáhl(a) %lld let,Bugün %lld yaşına girdi,آج %lld سال کے ہوئے,Hôm nay tròn %lld tuổi,Yn %lld oed heddiw,Сёння споўнілася %lld,Ube neminyaka engu-%lld namuhla,Fyllde %lld i dag,app,birthday.status.turnedToday,
